applicant_id,variant,channel,risk_band,days_since_start,missing_doc_type,delivered,clicked_24h,responded_72h,doc_submitted_72h,app_completed_7d,unsub_7d,complaint_7d,support_contact_7d
100053,B,sms,medium,1,bank_statement,1,0,0,1,0,0,0,0
100054,B,email,low,2,paystub,1,0,0,0,0,0,0,0
100055,A,email,low,3,bank_statement,1,0,0,0,0,0,0,0
100056,B,sms,high,1,bank_statement,1,1,0,0,0,0,0,0
100057,original,email,medium,1,bank_statement,1,0,0,0,0,0,0,0
100058,original,sms,low,3,bank_statement,1,0,0,0,0,0,0,0
100059,original,sms,medium,2,bank_statement,1,0,0,1,1,0,0,0
100060,original,sms,low,1,both,1,1,0,1,1,0,0,0
100061,A,email,medium,4,bank_statement,1,0,0,0,0,0,0,0
100062,original,email,medium,1,bank_statement,1,1,0,0,0,0,0,0
100063,B,sms,medium,2,both,1,0,0,0,0,0,0,0
100064,A,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100065,original,email,low,2,bank_statement,1,0,0,0,0,0,0,0
100066,A,sms,medium,2,both,1,1,0,1,1,0,0,0
100067,original,sms,low,5,paystub,1,0,0,0,0,0,0,0
100068,B,email,low,3,paystub,1,0,0,1,1,0,0,0
100069,original,email,high,2,bank_statement,1,0,0,1,1,0,0,0
100070,B,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100071,B,sms,high,2,bank_statement,1,0,0,0,0,0,0,0
100072,original,sms,low,1,paystub,1,0,0,0,0,0,0,0
100073,original,sms,medium,5,bank_statement,1,0,0,0,0,0,0,0
100074,B,email,low,1,bank_statement,1,0,1,0,0,0,0,0
100075,B,sms,medium,3,bank_statement,1,0,0,0,0,0,0,0
100076,B,email,low,4,paystub,1,0,0,0,0,0,0,0
100077,B,sms,low,4,paystub,1,1,0,0,0,0,0,0
100078,original,sms,low,1,paystub,1,0,0,0,0,0,0,0
100079,A,sms,medium,2,bank_statement,1,1,0,0,0,0,0,0
100080,original,email,low,1,paystub,1,0,0,0,0,0,0,0
100081,B,sms,high,4,both,1,0,0,0,0,0,0,0
100082,A,sms,low,2,bank_statement,1,1,0,0,0,0,0,0
100083,original,sms,low,1,paystub,1,0,0,1,0,0,0,0
100084,original,sms,low,3,paystub,1,0,1,0,1,0,0,0
100085,original,sms,high,2,paystub,1,0,0,0,0,0,0,0
100086,original,sms,low,1,bank_statement,1,0,0,0,0,0,0,0
100087,B,sms,low,2,paystub,1,0,1,0,1,0,0,0
100088,A,sms,medium,1,paystub,1,0,0,0,0,0,0,0
100089,B,sms,low,5,paystub,1,1,0,0,0,0,0,0
100090,A,sms,medium,2,both,1,0,0,1,1,0,0,0
100091,original,sms,low,3,bank_statement,1,0,1,0,0,0,0,0
100092,B,sms,medium,5,both,1,0,0,1,1,0,0,0
100093,B,sms,low,2,paystub,1,0,0,0,0,0,0,0
100094,A,email,medium,2,paystub,1,0,0,0,0,0,0,0
100095,B,sms,medium,1,paystub,1,0,0,0,1,0,0,0
100096,A,sms,medium,5,both,1,0,0,0,0,0,0,0
100097,A,sms,medium,4,paystub,1,0,0,0,0,0,0,0
100098,A,email,high,1,bank_statement,1,0,0,0,0,0,0,0
100099,original,email,low,2,paystub,1,0,0,0,0,0,0,0
100100,original,sms,low,5,bank_statement,1,0,0,0,0,0,0,0
100101,original,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100102,A,sms,medium,3,bank_statement,1,0,0,0,0,0,0,0
100103,original,email,low,3,both,1,0,0,0,0,0,0,0
100104,A,email,medium,4,bank_statement,1,0,0,0,0,0,0,0
100105,B,sms,low,5,bank_statement,1,0,0,0,0,0,0,0
100106,original,email,medium,4,bank_statement,1,0,0,0,1,0,0,0
100107,A,email,high,5,both,1,0,0,0,0,0,0,0
100108,B,sms,medium,4,paystub,1,1,0,0,0,0,0,1
100109,original,sms,low,1,paystub,1,0,0,0,0,0,0,0
100110,original,sms,medium,1,both,1,0,0,0,0,0,0,0
100111,original,sms,medium,4,bank_statement,1,0,0,1,1,0,0,0
100112,original,email,low,1,both,1,0,0,0,0,0,0,1
100113,B,sms,medium,4,bank_statement,1,0,0,0,0,0,0,0
100114,B,email,high,4,bank_statement,1,0,0,1,1,0,0,0
100115,A,email,low,2,paystub,1,0,0,1,1,0,0,0
100116,B,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100117,B,sms,low,1,bank_statement,1,1,0,0,0,0,0,0
100118,original,email,medium,1,bank_statement,1,0,0,0,0,0,0,0
100119,B,email,high,3,paystub,0,0,0,0,0,0,0,0
100120,A,email,medium,1,both,1,0,0,0,0,0,0,0
100121,B,sms,low,5,paystub,1,0,0,0,0,0,0,0
100122,B,sms,medium,2,paystub,1,0,0,1,0,0,0,0
100123,original,sms,medium,4,both,1,0,0,0,0,0,0,0
100124,original,email,medium,1,bank_statement,1,0,0,0,0,0,0,0
100125,original,sms,low,2,bank_statement,1,1,0,0,0,0,0,0
100126,A,email,medium,2,both,1,0,0,0,0,0,0,0
100127,B,sms,low,1,paystub,1,0,0,0,0,0,0,0
100128,B,email,low,3,paystub,1,0,0,0,0,0,0,0
100129,original,sms,medium,5,bank_statement,1,0,0,0,0,0,0,0
100130,A,sms,high,1,paystub,1,0,0,0,0,0,0,0
100131,A,sms,low,2,both,1,0,0,0,0,0,0,0
100132,original,sms,high,3,both,1,0,0,0,0,0,0,0
100133,original,sms,low,4,paystub,1,1,0,0,0,0,0,0
100134,A,sms,medium,1,both,1,0,0,0,0,0,0,0
100135,B,sms,low,1,paystub,1,1,0,0,0,0,0,0
100136,original,sms,low,1,bank_statement,0,0,0,0,0,0,0,0
100137,A,email,medium,1,both,1,0,0,0,0,0,0,0
100138,B,sms,medium,1,both,1,0,0,0,1,0,0,0
100139,A,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100140,B,email,medium,2,paystub,1,1,0,1,1,0,0,0
100141,B,sms,medium,2,paystub,1,1,1,0,0,0,0,0
100142,original,email,high,1,bank_statement,1,0,0,0,0,0,0,0
100143,A,sms,medium,2,bank_statement,1,1,0,0,0,0,0,0
100144,original,sms,low,1,paystub,1,0,0,0,0,0,0,0
100145,original,sms,low,1,bank_statement,1,0,0,0,0,0,0,0
100146,original,sms,low,2,both,1,1,0,0,0,0,0,0
100147,A,sms,medium,1,bank_statement,1,0,0,1,1,0,0,0
100148,A,sms,low,4,paystub,1,0,0,0,0,0,0,0
100149,original,sms,low,1,both,1,0,0,0,0,0,0,0
100150,original,sms,low,4,paystub,1,0,0,0,0,0,0,0
100151,B,sms,medium,2,both,1,0,0,1,0,0,0,0
100152,original,sms,low,2,paystub,1,0,0,0,0,0,0,0
100153,original,sms,low,3,bank_statement,1,1,0,0,0,0,0,0
100154,A,sms,medium,1,bank_statement,1,0,0,0,0,0,0,0
100155,B,sms,medium,1,bank_statement,1,1,0,1,1,0,0,0
100156,original,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100157,B,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100158,B,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100159,original,sms,high,3,bank_statement,1,0,0,0,0,0,0,0
100160,B,sms,low,1,paystub,1,0,1,1,1,0,0,0
100161,A,sms,high,5,both,1,0,0,0,0,0,0,0
100162,A,sms,high,1,both,1,0,0,0,0,0,0,0
100163,A,sms,medium,1,both,1,0,0,1,0,0,0,0
100164,A,sms,low,5,bank_statement,1,1,0,0,0,0,0,0
100165,original,sms,medium,1,paystub,1,0,1,0,0,0,0,0
100166,B,sms,low,5,bank_statement,1,0,0,0,0,0,0,0
100167,original,email,high,1,both,1,0,0,0,0,0,0,0
100168,original,email,medium,1,paystub,1,0,0,0,0,0,0,0
100169,original,sms,high,1,bank_statement,1,0,0,0,0,0,0,0
100170,A,sms,medium,2,paystub,0,0,0,0,0,0,0,0
100171,B,sms,medium,2,paystub,1,0,1,0,0,0,0,0
100172,original,email,medium,1,paystub,1,0,0,0,0,0,0,0
100173,A,sms,low,1,both,1,0,0,0,0,0,0,0
100174,original,email,medium,1,bank_statement,1,0,0,0,0,0,0,0
100175,A,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100176,original,sms,high,5,bank_statement,1,0,0,0,0,0,0,0
100177,B,sms,medium,2,paystub,1,0,0,1,1,0,0,0
100178,A,sms,high,4,bank_statement,1,0,0,0,0,0,0,0
100179,B,sms,high,1,both,1,0,0,0,0,0,0,0
100180,original,sms,medium,1,bank_statement,1,1,0,1,0,0,0,0
100181,A,sms,low,3,bank_statement,1,0,0,0,0,0,0,0
100182,original,email,medium,4,bank_statement,1,0,0,0,0,0,0,0
100183,B,sms,low,4,bank_statement,1,0,0,0,0,0,0,0
100184,B,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100185,original,sms,low,2,both,1,0,0,0,0,0,0,0
100186,A,email,high,1,bank_statement,1,0,0,0,0,0,0,0
100187,B,email,low,3,both,1,0,0,0,1,0,0,0
100188,A,sms,medium,2,both,1,0,0,0,0,0,0,0
100189,A,sms,high,4,both,1,0,0,0,0,0,0,0
100190,original,sms,medium,3,both,1,0,0,0,0,0,0,0
100191,original,sms,medium,4,paystub,1,0,0,0,0,0,0,0
100192,B,sms,medium,3,bank_statement,1,0,0,0,0,0,0,0
100193,B,email,low,4,bank_statement,1,0,0,1,0,0,0,0
100194,A,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100195,A,sms,high,2,both,1,0,0,0,0,0,0,0
100196,A,sms,low,1,paystub,1,1,0,0,0,0,0,0
100197,B,email,medium,3,paystub,1,0,0,1,0,0,0,0
100198,B,sms,medium,2,both,1,0,0,0,0,0,0,0
100199,B,sms,low,4,paystub,1,0,0,0,1,0,0,0
100200,B,sms,high,3,paystub,1,0,0,0,0,0,0,0
100201,A,sms,medium,3,paystub,1,1,0,0,0,0,0,0
100202,original,email,low,1,both,1,0,0,0,0,0,0,0
100203,original,sms,high,5,bank_statement,1,0,0,0,0,0,0,0
100204,B,email,medium,1,both,1,0,0,0,0,0,0,0
100205,A,sms,medium,4,paystub,1,1,0,0,0,0,0,0
100206,original,sms,medium,2,both,1,0,0,0,0,0,0,0
100207,original,email,low,4,paystub,1,0,0,0,0,0,0,0
100208,A,sms,medium,2,paystub,1,0,0,1,1,0,0,0
100209,original,sms,low,3,bank_statement,1,0,0,0,0,0,0,0
100210,original,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100211,A,sms,medium,3,paystub,1,0,0,0,1,0,0,0
100212,B,sms,high,2,paystub,1,0,0,0,0,0,0,0
100213,A,email,medium,3,paystub,1,0,0,0,0,0,0,0
100214,original,email,low,1,both,1,0,0,0,0,0,0,0
100215,B,sms,high,3,paystub,1,0,0,0,0,0,0,0
100216,original,sms,medium,2,both,1,0,0,0,0,0,0,0
100217,original,sms,medium,2,both,1,0,0,1,1,0,0,0
100218,B,sms,low,4,paystub,1,0,1,0,0,0,0,0
100219,A,sms,high,4,bank_statement,1,0,0,0,0,0,0,0
100220,B,sms,high,3,bank_statement,1,0,0,0,0,0,0,0
100221,A,sms,medium,5,both,1,0,0,1,0,0,0,0
100222,A,sms,high,1,both,1,0,0,0,0,0,0,1
100223,original,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100224,A,sms,high,2,paystub,1,0,0,0,0,0,0,0
100225,original,email,medium,2,bank_statement,1,1,0,0,0,0,0,0
100226,original,sms,low,2,both,1,0,0,1,1,0,0,0
100227,B,sms,medium,3,bank_statement,1,0,0,0,0,0,0,0
100228,A,sms,medium,2,both,1,0,0,0,0,0,0,0
100229,B,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100230,A,sms,low,3,paystub,1,1,0,0,0,0,0,0
100231,B,sms,low,1,both,1,1,0,1,0,0,0,0
100232,A,email,low,2,both,1,0,0,0,0,0,0,0
100233,A,sms,low,1,paystub,1,0,0,0,1,0,0,0
100234,A,sms,low,5,paystub,1,0,0,0,0,0,0,0
100235,original,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100236,B,email,high,4,both,1,0,0,0,0,0,0,0
100237,original,email,medium,2,paystub,1,0,0,0,0,0,0,0
100238,original,email,low,1,paystub,1,1,0,0,0,0,0,0
100239,A,sms,high,1,bank_statement,1,0,0,0,0,0,0,0
100240,original,email,medium,3,paystub,1,0,0,0,0,0,0,0
100241,B,sms,medium,5,paystub,1,0,0,0,0,0,0,0
100242,B,sms,medium,1,bank_statement,1,0,0,0,0,0,0,0
100243,B,email,low,1,both,1,0,0,0,0,0,0,0
100244,A,email,low,2,bank_statement,1,0,0,0,0,0,0,0
100245,original,sms,low,2,bank_statement,1,1,0,0,0,0,0,0
100246,B,sms,medium,4,bank_statement,1,1,0,0,0,0,0,0
100247,A,sms,medium,2,bank_statement,1,0,0,0,0,0,0,0
100248,B,sms,medium,1,paystub,1,0,0,0,0,0,0,0
100249,B,sms,low,5,paystub,1,0,0,0,1,0,0,0
100250,B,email,medium,2,paystub,1,0,0,0,0,0,0,0
100251,original,sms,medium,3,both,1,0,0,0,0,0,0,0
100252,A,email,high,3,both,0,0,0,0,1,0,0,0
100253,B,email,low,1,bank_statement,1,0,0,0,0,0,0,0
100254,original,sms,high,1,both,1,0,0,0,0,0,0,0
100255,original,email,high,1,both,1,0,0,0,0,0,0,0
100256,A,sms,medium,5,both,1,0,0,0,0,0,0,0
100257,B,sms,medium,4,paystub,1,0,0,0,1,0,0,0
100258,B,sms,low,1,bank_statement,1,0,0,0,0,0,0,0
100259,A,sms,high,3,bank_statement,1,1,0,0,0,0,0,0
100260,original,email,low,3,bank_statement,1,1,0,0,0,0,0,0
100261,A,email,medium,1,paystub,1,0,0,0,0,0,0,0
100262,B,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100263,original,email,low,3,bank_statement,1,0,0,0,0,0,0,0
100264,A,sms,medium,1,both,1,0,0,0,0,0,0,0
100265,B,email,high,4,both,1,0,0,0,0,0,0,0
100266,B,sms,medium,3,paystub,1,0,0,0,0,0,0,0
100267,B,sms,high,1,paystub,1,0,0,0,0,0,0,0
100268,B,sms,medium,4,bank_statement,1,0,0,0,0,0,0,0
100269,A,sms,low,1,bank_statement,1,0,0,0,0,0,0,0
100270,original,sms,low,4,bank_statement,1,0,0,0,0,0,0,0
100271,B,email,medium,2,both,1,0,0,0,0,0,0,0
100272,B,sms,low,3,both,1,0,0,0,0,0,0,0
100273,B,email,medium,4,paystub,1,0,0,1,1,0,0,0
100274,B,email,low,2,bank_statement,1,0,0,0,0,0,0,0
100275,A,sms,low,2,both,1,0,0,0,0,0,0,0
100276,A,sms,medium,2,both,1,0,0,0,0,0,0,0
100277,B,email,medium,3,paystub,1,0,0,0,0,0,0,0
100278,A,sms,low,2,paystub,1,1,0,0,0,0,0,0
100279,B,sms,low,5,paystub,1,0,0,0,0,0,0,0
100280,B,sms,low,3,both,1,0,0,0,0,0,0,0
100281,B,sms,low,2,bank_statement,1,1,0,0,0,0,0,0
100282,A,email,medium,3,bank_statement,1,0,0,0,0,0,0,0
100283,A,sms,medium,2,paystub,1,0,0,1,0,0,0,0
100284,original,sms,low,4,paystub,1,0,0,1,0,0,0,0
100285,A,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100286,original,email,low,1,bank_statement,1,0,0,0,0,0,0,0
100287,A,email,low,1,bank_statement,1,0,0,0,0,0,0,0
100288,A,sms,medium,5,paystub,1,1,1,0,0,0,0,0
100289,original,sms,low,2,paystub,1,0,0,0,0,0,0,0
100290,A,sms,low,1,both,1,0,0,0,0,0,0,0
100291,original,sms,medium,2,paystub,1,1,0,0,0,0,0,0
100292,original,sms,low,2,both,1,0,0,0,0,0,0,0
100293,B,email,medium,1,paystub,1,0,0,0,0,0,0,0
100294,A,sms,medium,3,paystub,1,0,0,1,0,0,0,0
100295,original,sms,low,1,bank_statement,1,0,0,1,1,0,0,0
100296,A,email,medium,2,both,1,0,0,1,1,0,0,0
100297,B,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100298,original,sms,medium,2,bank_statement,1,1,0,0,0,0,0,0
100299,A,sms,medium,2,bank_statement,1,0,0,0,0,0,0,0
100300,original,sms,high,3,paystub,1,0,0,0,0,0,0,0
100301,original,email,high,1,paystub,1,0,0,0,1,0,0,0
100302,A,sms,medium,2,both,1,0,0,1,0,0,0,1
100303,A,sms,high,1,paystub,1,0,0,0,0,0,0,0
100304,A,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100305,B,email,medium,2,both,1,0,0,0,1,0,0,0
100306,B,sms,low,3,paystub,1,1,0,0,0,0,0,0
100307,A,sms,low,3,paystub,1,0,0,0,0,0,0,0
100308,original,email,medium,2,paystub,1,0,0,1,0,0,0,0
100309,B,sms,medium,1,paystub,1,0,0,0,0,0,0,0
100310,original,email,low,3,paystub,1,1,0,0,1,0,0,0
100311,A,sms,medium,5,bank_statement,1,0,0,0,0,0,0,0
100312,original,sms,medium,1,bank_statement,1,0,0,1,1,0,0,0
100313,original,sms,low,1,bank_statement,1,0,0,1,0,0,0,0
100314,B,sms,low,2,both,1,0,0,0,0,0,0,0
100315,B,sms,low,2,paystub,1,0,0,0,0,0,0,0
100316,B,sms,low,2,paystub,1,0,0,1,1,0,0,1
100317,A,sms,medium,4,paystub,1,0,0,0,0,0,0,0
100318,original,sms,low,2,paystub,1,0,0,0,0,0,0,0
100319,original,sms,low,1,paystub,1,0,0,0,0,0,0,0
100320,original,email,medium,5,bank_statement,1,1,0,0,0,0,0,0
100321,A,sms,medium,1,both,1,1,0,0,0,0,0,0
100322,B,email,low,1,both,1,1,0,0,0,0,0,0
100323,A,sms,low,1,paystub,1,0,0,1,0,0,0,0
100324,original,sms,low,1,both,1,1,0,0,0,0,0,0
100325,B,sms,medium,4,both,1,0,0,0,0,0,0,0
100326,B,email,high,2,paystub,1,0,0,0,1,0,0,1
100327,A,email,medium,3,paystub,1,0,0,0,0,0,0,0
100328,A,sms,low,4,both,1,0,0,0,0,0,0,0
100329,A,email,medium,1,bank_statement,1,0,0,0,0,0,0,0
100330,original,sms,low,2,both,1,0,0,0,0,0,0,0
100331,A,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100332,B,email,low,4,paystub,1,0,0,0,0,0,0,0
100333,original,email,medium,1,paystub,1,0,0,0,0,0,0,0
100334,original,email,medium,2,both,1,0,0,0,0,0,0,1
100335,original,sms,medium,4,paystub,1,0,0,0,0,0,0,0
100336,original,sms,medium,1,paystub,1,0,0,0,0,0,0,0
100337,B,sms,low,1,bank_statement,1,0,0,0,0,0,0,1
100338,B,sms,low,3,paystub,1,0,1,0,0,0,0,0
100339,A,email,medium,2,paystub,1,0,0,0,0,0,0,1
100340,original,sms,medium,2,bank_statement,1,0,0,0,0,0,0,0
100341,A,sms,medium,4,paystub,1,0,0,0,0,0,0,0
100342,A,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100343,original,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100344,A,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100345,A,sms,medium,4,paystub,1,0,0,0,0,0,0,0
100346,A,email,medium,3,paystub,1,0,0,0,0,0,0,0
100347,A,sms,high,1,bank_statement,1,0,0,0,0,0,0,0
100348,original,email,low,2,paystub,1,0,0,0,0,0,0,0
100349,A,sms,medium,4,paystub,1,0,0,0,0,0,0,0
100350,A,sms,medium,2,bank_statement,1,0,0,0,0,0,0,0
100351,A,sms,low,2,paystub,1,0,0,0,0,0,0,0
100352,B,email,low,2,paystub,1,0,0,1,0,0,0,0
100353,A,sms,medium,1,bank_statement,1,0,0,0,0,0,0,0
100354,original,sms,low,2,bank_statement,1,0,0,0,0,0,0,0
100355,original,sms,low,4,bank_statement,1,0,0,0,0,0,0,0
100356,A,sms,high,2,bank_statement,1,0,0,0,0,0,0,0
100357,original,email,medium,2,bank_statement,1,0,0,1,1,0,0,0
100358,A,email,low,1,both,1,0,0,0,0,0,0,0
100359,B,sms,medium,1,paystub,1,0,0,0,0,0,0,0
100360,A,sms,medium,1,paystub,1,1,0,0,0,0,0,0
100361,A,email,high,1,bank_statement,1,0,0,0,0,0,0,0
100362,A,sms,medium,2,bank_statement,1,0,0,0,0,0,0,0
100363,A,sms,high,2,bank_statement,1,0,0,0,0,0,0,0
100364,A,sms,low,2,paystub,1,1,0,1,0,0,0,0
100365,B,sms,medium,5,paystub,1,1,0,0,0,0,0,0
100366,A,sms,low,2,both,1,0,1,1,1,0,0,0
100367,B,email,low,4,bank_statement,1,0,0,0,0,0,0,0
100368,B,sms,medium,1,bank_statement,1,0,0,0,0,0,0,0
100369,original,sms,low,1,paystub,1,0,0,0,0,0,0,0
100370,original,email,medium,3,paystub,1,0,0,0,0,0,0,0
100371,original,sms,high,1,paystub,1,0,0,0,0,0,0,0
100372,original,sms,low,1,bank_statement,1,1,0,0,0,0,0,0
100373,original,sms,low,1,both,1,0,0,0,0,0,0,0
100374,B,sms,medium,1,both,1,0,0,0,0,0,0,0
100375,original,email,high,2,bank_statement,1,0,0,0,0,0,0,0
100376,original,email,medium,3,both,1,0,0,0,0,0,0,0
100377,B,sms,medium,2,bank_statement,1,1,0,0,0,0,0,0
100378,original,email,low,1,paystub,1,1,0,0,0,0,0,0
100379,B,sms,low,4,paystub,1,0,0,0,0,0,0,0
100380,original,email,medium,1,bank_statement,1,0,0,0,0,0,0,0
100381,original,sms,low,3,paystub,1,0,0,0,0,0,0,0
100382,B,sms,high,5,bank_statement,1,0,0,0,0,0,0,0
100383,A,sms,medium,1,both,1,0,0,0,0,0,0,0
100384,B,sms,medium,1,paystub,1,1,0,0,0,0,0,0
100385,B,sms,medium,5,paystub,1,0,1,0,0,0,0,0
100386,B,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100387,original,email,medium,2,bank_statement,1,0,0,1,0,0,0,0
100388,original,sms,high,2,paystub,1,0,0,0,0,0,0,0
100389,B,email,high,1,bank_statement,1,0,0,0,0,0,0,0
100390,B,sms,high,5,paystub,1,0,0,0,0,0,0,0
100391,B,sms,high,1,bank_statement,1,0,0,0,0,0,0,0
100392,A,email,medium,2,paystub,1,0,0,0,0,0,0,0
100393,A,sms,medium,2,both,1,0,0,0,0,0,0,0
100394,B,email,low,2,bank_statement,1,0,0,1,0,0,0,0
100395,A,email,low,2,bank_statement,1,0,0,0,0,0,0,0
100396,B,sms,low,5,bank_statement,1,1,0,0,0,0,0,0
100397,B,sms,low,4,bank_statement,1,0,0,0,0,0,0,0
100398,A,sms,low,2,paystub,1,0,0,0,1,0,0,0
100399,B,sms,low,3,bank_statement,1,0,0,0,0,0,0,0
100400,B,sms,high,1,bank_statement,1,0,0,0,0,0,0,0
100401,original,email,high,2,bank_statement,0,0,0,0,0,0,0,0
100402,B,sms,low,1,paystub,1,1,0,0,0,0,0,0
100403,A,sms,low,3,paystub,1,0,0,0,0,0,0,0
100404,B,sms,high,1,paystub,1,0,0,0,0,0,0,0
100405,original,email,high,3,paystub,1,0,0,0,0,0,0,0
100406,B,sms,high,2,both,1,0,0,0,0,0,0,0
100407,A,sms,high,5,paystub,1,0,0,0,1,0,0,0
100408,original,sms,high,2,paystub,1,0,0,1,0,0,0,1
100409,B,email,low,4,bank_statement,1,1,0,0,0,0,0,0
100410,original,email,low,3,both,1,0,0,0,0,0,0,0
100411,original,sms,medium,5,bank_statement,1,0,0,0,0,0,0,0
100412,B,email,low,3,paystub,1,0,0,1,0,0,0,0
100413,B,sms,high,3,paystub,1,0,0,0,0,0,0,0
100414,A,email,medium,2,bank_statement,1,0,0,0,0,0,0,0
100415,A,sms,medium,2,paystub,1,0,0,0,0,0,0,0
100416,A,sms,low,2,paystub,1,0,0,1,0,0,0,0
100417,original,sms,medium,1,paystub,0,0,0,0,0,0,0,0
100418,original,sms,medium,3,both,1,1,0,0,0,0,0,0
100419,B,email,high,1,paystub,1,0,0,0,0,0,0,0
100420,B,sms,low,2,bank_statement,1,1,0,1,1,0,0,0
100421,B,email,high,2,both,1,0,0,0,1,0,0,0
100422,B,sms,high,1,bank_statement,1,0,0,0,0,0,0,0
100423,original,sms,medium,1,paystub,1,0,0,0,0,0,0,0
100424,A,sms,medium,2,paystub,1,0,0,1,1,0,0,0
100425,original,sms,medium,1,both,1,0,0,0,0,0,0,0
100426,A,email,low,2,paystub,1,0,0,0,0,0,0,0
100427,A,sms,low,1,bank_statement,1,0,1,0,0,0,0,0
